date,prec_AGCD,prec_SILO,PET_morton,sf_mmd
1971-09-07,0.0,0.0,3.877524,0.474103
1971-09-08,0.270662,0.397118,4.452952,0.473547
1971-09-09,0.413384,0.669269,3.893333,0.473547
1971-09-10,0.031406,0.060673,4.609905,0.473547
1971-09-11,0.0,0.0,4.295619,0.473547
1971-09-12,0.0,0.0,4.524952,0.473547
1971-09-13,0.164027,0.186597,3.986286,0.473547
1971-09-14,1.539767,2.222231,2.714857,0.473547
1971-09-15,1.084524,0.327965,3.348762,0.473547
1971-09-16,0.010686,0.0,4.907429,0.473547
1971-09-17,0.0,0.0,4.202095,0.462987
1971-09-18,0.0,0.0,4.930095,0.445757
1971-09-19,0.0,0.0,5.138667,0.445757
1971-09-20,0.0,0.0,4.196762,0.445757
1971-09-21,0.0,0.0,3.448762,0.435196
1971-09-22,0.0,0.0,4.605714,0.418522
1971-09-23,0.0,0.0,4.435619,0.418522
1971-09-24,0.0,0.0,5.360381,0.418522
1971-09-25,0.0,0.0,4.974095,0.418522
1971-09-26,0.0,0.0,4.670286,0.418522
1971-09-27,0.0,0.0,2.361333,0.418522
1971-09-28,0.0,0.0,2.024571,0.418522
1971-09-29,0.04373,0.061094,4.576762,0.418522
1971-09-30,0.373419,0.393529,4.317524,0.418522
1971-10-01,0.0,0.0,4.819048,0.418522
1971-10-02,0.0,0.0,5.130095,0.418522
1971-10-03,0.0,0.0,4.119238,0.418522
1971-10-04,0.0,0.0,4.720381,0.418522
1971-10-05,0.0,0.0,4.598095,0.418522
1971-10-06,0.130188,0.088323,4.552,0.408518
1971-10-07,0.423331,0.335935,4.515048,0.392399
1971-10-08,0.0,0.0,5.238667,0.392399
1971-10-09,0.0,0.0,4.977905,0.392399
1971-10-10,0.0,0.0,5.155048,0.392399
1971-10-11,0.0,0.0,4.756953,0.38295
1971-10-12,0.0,0.0,4.894286,0.357939
1971-10-13,0.0,0.0,4.596,0.342377
1971-10-14,0.0,0.0,5.049143,0.342377
1971-10-15,0.596594,0.53667,4.629714,0.342377
1971-10-16,0.333828,1.271954,3.991619,0.342377
1971-10-17,1.058538,1.474228,5.38819,0.342377
1971-10-18,4.556598,1.581336,3.597333,0.342377
1971-10-19,11.396618,20.112739,4.223238,0.558029
1971-10-20,0.0,0.0,3.734667,0.567478
1971-10-21,0.0,0.0,4.56,0.459096
1971-10-22,0.0,0.0,5.188762,0.392955
1971-10-23,0.0,0.0,5.313333,0.392399
1971-10-24,0.000729,0.0,5.483238,0.392399
1971-10-25,1.270125,1.023587,5.583619,0.38295
1971-10-26,0.0,0.0,5.820953,0.367388
1971-10-27,0.0,0.0,4.313714,0.357383
1971-10-28,0.0,0.0,5.297333,0.342377
1971-10-29,0.00226,0.0,4.470667,0.333484
1971-10-30,13.918964,6.618226,3.321143,0.352381
1971-10-31,0.024555,0.637657,4.371429,0.554139
